"map_id","category","creature_entry","creature_name","reason"
"800","dungeon","91920","Marrowspike","#330 scan: rank 3 boss, 1 spawn, 7 blue+ own loot rows"
"800","dungeon","91929","Hivaxxis","#330 scan: rank 3 boss, 1 spawn, 7 blue+ own loot rows"
"807","raid","60747","Erennius","#330 scan: rank 3 boss, 1 spawn, 2 blue+ own loot rows"
"807","raid","60748","Solnius","#330 scan: rank 3 boss, 1 spawn, 42 blue+ own loot rows"
"808","dungeon","60734","Hatereaver Annihilator","#330 scan: boss_ script, 1 spawn, 7 blue+ own loot rows"
"808","dungeon","60735","High Foreman Bargul Blackhammer","#330 scan: boss_ script, 1 spawn, 7 blue+ own loot rows"
"808","dungeon","60736","Engineer Figgles","#330 scan: boss_ script, 1 spawn, 8 blue+ own loot rows"
"808","dungeon","60737","Har'gesh Doomcaller","#330 scan: boss_ script, 1 spawn, 11 blue+ own loot rows"
"814","raid","59961","Rupturan the Broken","#330 scan: rank 3 boss, 1 spawn, 20 blue+ own loot rows"
"814","raid","59967","King","#330 scan: rank 3 boss, 1 spawn, 23 blue+ own loot rows"
"814","raid","59981","Sanv Tas'dal","#330 scan: rank 3 boss, 1 spawn, 21 blue+ own loot rows"
"814","raid","59991","Kruul","#330 scan: rank 3 boss, 1 spawn, 24 blue+ own loot rows"
"814","raid","61939","Keeper Gnarlmoon","#330 scan: rank 3 boss, 1 spawn, 8 blue+ own loot rows"
"814","raid","61945","Manascale Overseer","#330 scan: instance-bind flag, 1 spawn, 49 blue+ own loot rows"
"814","raid","61946","Ley-Watcher Incantagos","#330 scan: rank 3 boss, 1 spawn, 10 blue+ own loot rows"
"814","raid","61951","Anomalus","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"814","raid","61958","Echo of Medivh","#330 scan: rank 3 boss, 1 spawn, 9 blue+ own loot rows"
"818","dungeon","62548","Oronok Torn-Heart","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"818","dungeon","62549","Duke Balor the IV","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"818","dungeon","62550","Deathlord Tidebane","#330 scan: boss_ script, 1 spawn, 7 blue+ own loot rows"
"818","dungeon","62551","Chieftain Stormsong","#330 scan: boss_ script, 1 spawn, 5 blue+ own loot rows"
"818","dungeon","62652","Subjugator Halthas Shadecrest","#330 scan: boss_ script, 1 spawn, 5 blue+ own loot rows"
"818","dungeon","62661","Eldermaw the Primordial","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"818","dungeon","62664","Mycellakos","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"818","dungeon","62665","Lady Drazare","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"819","raid","2139","Loktanag the Vile","#330 scan: rank 3 boss, 1 spawn, 11 blue+ own loot rows"
"819","raid","62935","Ormanos the Cracked","#330 scan: rank 3 boss, 1 spawn, 11 blue+ own loot rows"
"819","raid","62936","Rotgrowl","#330 scan: rank 3 boss, 1 spawn, 15 blue+ own loot rows"
"819","raid","62938","Archdruid Kronn","#330 scan: rank 3 boss, 1 spawn, 11 blue+ own loot rows"
"819","raid","62941","Chieftain Partath","#330 scan: rank 3 boss, 1 spawn, 11 blue+ own loot rows"
"819","raid","62946","Trioch the Devourer","#330 scan: rank 3 boss, 1 spawn, 10 blue+ own loot rows"
"820","dungeon","62780","Bonespeaker Narlgom","#330 scan: boss_ script, 1 spawn, 4 blue+ own loot rows"
"820","dungeon","62782","Chieftain Shalk Blackwind","#330 scan: boss_ script, 1 spawn, 6 blue+ own loot rows"
